SKU_ID,Product_Name,Merchant_SKU_ID,Merchant_SKU_Name,Product_Type,Meta Category,Cost,MRP,price,Block_qty,Ordered_qty,Available_promise_qty,Total_Qty,Warehouse,TTWH,status,HSN Code,Image,Qty Sold in last 30 days,Days on Hand
FN1903176-S-PM9338,Lovin Fabric 3 Seater Sofa in Beige Colour,1000010087726_9338,Helios Mendoza Three Seater Sofa_9338,simple,Furniture,16800,49199,36599,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/l/o/60x66/lovin-fabric-3-seater-sofa-in-beige-colour-lovin-fabric-3-seater-sofa-in-beige-colour-s1pceg.jpg,0,0
FN1903195-S-PM9338,Inferno  Fabric 2 Seater Sofa in Beige Colour,1000009955871_9338,Helios Quebec Nxt Two-Seater Sofa_9338,simple,Furniture,15264,44665,33199,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/h/e/60x66/helios-two-seater-sofa-in-beige-colour-by-home-centre-helios-two-seater-sofa-in-beige-colour-by-home-d37tmh.jpg,0,0
FN1911851-S-PM9338,Inferno  Fabric 2 Seater Sofa in Grey Colour,1000010134752_9338,LAZIO 2 SEATER SOFA-GREY_9338,simple,Furniture,10560,30932,22999,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/i/n/60x66/inferno--fabric-2-seater-sofa-in-grey-colour-inferno--fabric-2-seater-sofa-in-grey-colour-4he3ck.jpg,0,0
FN1911854-S-PM9338,Inferno  Fabric 3 Seater Sofa in Grey Colour,1000010134754_9338,LAZIO 3 SEATER SOFA-GREY_9338,simple,Furniture,16032,46932,34899,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/i/n/60x66/inferno--fabric-3-seater-sofa-in-grey-colour-inferno--fabric-3-seater-sofa-in-grey-colour-rdeomt.jpg,0,0
FN1912438-S-PM9338,Braxton Leatherette Motorized 1 Seater Recliner with USB Port in Tan Brown Colour,Braxton Evoke Copy,Braxton Evoke Copy,simple,Furniture,23600,67999,47499,---,---,10,10,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/b/r/60x66/braxton-recliner-1-seater-in-tan-brown-colour-by-evok-braxton-recliner-1-seater-in-tan-brown-colour--hygdsj.jpg,0,0
FN1916203-S-PM9338,Axton Fabric 1 Seater Sofa in Grey Colour,Evoke copy 3,Evoke copy 3,simple,Furniture,11000,31499,21999,---,---,10,10,Bhiwandi WH,6,Live,94036000,https://i1.pepperfry.com/media/catalog/product/a/x/60x66/axton-fabric-1-seater-sofa-in-grey-colour-axton-fabric-1-seater-sofa-in-grey-colour-xcqck1.jpg,0,0
FN1916204-S-PM9338,Alberto Leatherette 3 Seater Sofa in Brown Colour,Evoke copy 4,Evoke copy 4,simple,Furniture,20060,57999,40499,---,---,10,10,Bhiwandi WH,6,Live,94036000,https://i1.pepperfry.com/media/catalog/product/a/l/60x66/alberto-3-seater-sofa-in-brown-colour-by-evok-alberto-3-seater-sofa-in-brown-colour-by-evok-hwpi2r.jpg,0,0
FN1926345-S-PM9338,Maverick  Leather 2 Seater Sofa in Brown Colour,1000007279353_9338,Aprilla Two-Seater Full Leather Sofa_9338,simple,Furniture,52800,154399,114799,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/m/a/60x66/maverick--leather-2-seater-sofa-in-brown-colour-maverick--leather-2-seater-sofa-in-brown-colour-zcxivk.jpg,0,0
FN1926346-S-PM9338,Maverick  Leather 3 Seater Sofa in Brown Colour,1000007279347_9338,Aprilla Three-Seater Full Leather Sofa_9338,simple,Furniture,54336,158932,118199,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/m/a/60x66/maverick--leather-3-seater-sofa-in-brown-colour-maverick--leather-3-seater-sofa-in-brown-colour-grnwe7.jpg,0,0
FN1926351-S-PM9338,Gorgona Fabric 1 Seater Sofa in Beige Colour,1000007706067_9338,Albury Textured Arm Chair_9338,simple,Furniture,11712,34265,25499,---,---,20,20,Bhiwandi WH,6,Not Live,94036000,https://i1.pepperfry.com/media/catalog/product/g/o/60x66/gorgona-fabric-1-seater-sofa-in-beige-colour-gorgona-fabric-1-seater-sofa-in-beige-colour-gkye7a.jpg,0,0
